service_name,suburb,state,address,lat,lng,day,start_time,end_time,shift_status,van_asset
Beach St Hub,Fremantle,WA,1 Beach Street,-32.04924,115.74907,Saturday,5:00 pm,7:00 pm,Shift Status,Van Asset
Beach St Hub,Fremantle,WA,1 Beach Street,-32.04924,115.74907,Tuesday,6:30 pm,8:30 pm,Shift Status,Van Asset
Real Life Church,Gosnells,WA,2209 Albany Highway,-32.071049,116.00056,Wednesday,8:30 am,11:30 am,Shift Status,Van Asset
Homelessness We Care Perth SJS,Byford,WA,858 South Western Highway,-32.220713,116.009431,Friday,5:30 pm,7:30 pm,Shift Status,Van Asset
Spearwood Uniting Church,Rockingham,WA,330 Rockingham Road,-32.281957,115.75773,Wednesday,6:00 pm,8:00 pm,Shift Status,Van Asset
Salv Army Rockingham,Rockingham,WA,Read Street,-32.288629,115.74018,Tuesday,9:30 am,12:00 pm,Shift Status,Van Asset
St Brendans At Guide Hall,Shoalwater,WA,Watts Road,-32.301985,115.709677,Friday,10:00 am,1:00 pm,Shift Status,Van Asset
Passion Church with Peel Connect,Mandurah,WA,unit 3/11 Davey Street,-32.533999,115.72391,Thursday,8:30 am,11:30 am,Shift Status,Van Asset
Raymond Terrace Salvation Army,Raymond Terrace,NSW,15 Carmichael Street,-32.759245,151.74784,Tuesday,1:30 pm,3:30 pm,Shift Status,Van Asset
BaptistCare Hope St,Wallsend,NSW,58 Cowper Street,-32.902086,151.671224,Tuesday,9:00 am,11:00 am,Shift Status,Van Asset
Salvation Army Hamilton,Hamilton,NSW,67 Cleary Street,-32.920877,151.746196,Friday,10:00 am,12:00 pm,Shift Status,Van Asset
Salvation Army Hamilton,Hamilton,NSW,67 Cleary Street,-32.920877,151.746196,Monday,12:00 pm,2:00 pm,Shift Status,Van Asset
St Marks Community Kitchen,Wollongong,NSW,429 Crown Street,-34.42692,150.879232,Monday,2:30 pm,4:30 pm,Shift Status,Van Asset
Lighthouse Church,Wollongong,NSW,1 Railway Station Square,-34.427638,150.88732,Thursday,4:30 pm,6:30 pm,Shift Status,Van Asset
Lighthouse Church,Wollongong,NSW,1 Railway Station Square,-34.427638,150.88732,Tuesday,4:30 pm,6:30 pm,Shift Status,Van Asset
Baptist Care Hope Street,Port Kembla,NSW,27-29 Wentworth Street,-34.480194,150.900485,Friday,9:30 am,11:30 am,Shift Status,Van Asset
Baptist Care Hope Street,Port Kembla,NSW,27-29 Wentworth Street,-34.480194,150.900485,Wednesday,9:30 am,11:30 am,Shift Status,Van Asset
Open Hands Community Kitchen,Lake Illawarra,NSW,10 Commerce Drive,-34.54763,150.864979,Friday,1:00 pm,3:00 pm,Shift Status,Van Asset
Open Hands Community Kitchen,Lake Illawarra,NSW,10 Commerce Drive,-34.54763,150.864979,Monday,11:00 am,2:00 pm,Shift Status,Van Asset
Freds Van Elizabeth,Elizabeth,SA,8 Langford Drive,-34.71879,138.664249,Sunday,10:00 am,1:00 pm,Shift Status,Van Asset
Freds Van Elizabeth,Elizabeth,SA,8 Langford Drive,-34.71879,138.664249,Wednesday,5:00 pm,7:00 pm,Shift Status,Van Asset
Salvation Army TTG,Modbury,SA,138-142 Reservoir Road,-34.828653,138.687183,Wednesday,1:00 pm,3:00 pm,Shift Status,Van Asset
